ID,x(cm),y(cm),type,x (m),y (m)
3000,5,0,HALLWAY,8.5,0
3001,5,1.7,HALLWAY,8.5,2.89
3002,4,1.7,DOOR,6.8,2.89
3003,2,1.7,ROOM,3.4,2.89
3004,6,1.7,DOOR,10.2,2.89
3005,8,1.7,ROOM,13.6,2.89
3006,5,4,HALLWAY,8.5,6.8
3007,6,4,DOOR,10.2,6.8
3008,8,4,ROOM,13.6,6.8
3009,5,5.5,HALLWAY,8.5,9.35
3010,4,5.5,DOOR,6.8,9.35
3011,2,5.5,ROOM,3.4,9.35
3012,5,6,HALLWAY,8.5,10.2
3013,5,9,HALLWAY,8.5,15.3
3014,4,9,DOOR,6.8,15.3
3015,2,9,ROOM,3.4,15.3
3016,5,11.5,HALLWAY,8.5,19.55
3017,4,11.5,DOOR,6.8,19.55
3018,2,11.5,ROOM,3.4,19.55
3019,6,11.5,DOOR,10.2,19.55
3020,9.5,11.5,ROOM,16.15,19.55
3021,5,14,HALLWAY,8.5,23.8
3022,4.5,15,DOOR,8.5,25.5
3023,2.5,17.5,ROOM,8.5,29.75
3024,7,14,HALLWAY,11.9,23.8
3025,7,15,DOOR,11.9,25.5
3026,7,17.5,ROOM,11.9,29.75
3027,11,14,HALLWAY,18.7,23.8
3028,11,15,DOOR,18.7,25.5
3029,11,17.5,ROOM,18.7,29.75
3030,15,14,HALLWAY,25.5,23.8
3031,15,13,DOOR,25.5,22.1
3032,15,11.5,ROOM,25.5,19.55
3033,15.5,14,HALLWAY,26.35,23.8
3034,15.5,15,DOOR,26.35,25.5
3035,15.5,17.5,ROOM,26.35,29.75
3036,19,14,HALLWAY,32.3,23.8
3037,19,13,DOOR,32.3,22.1
3038,19,11.5,ROOM,32.3,19.55
3039,19.8,14,HALLWAY,33.66,23.8
3040,19.8,15,DOOR,33.66,25.5
3041,19.8,17.5,ROOM,33.66,29.75
3042,21.5,14,HALLWAY,36.55,23.8
3043,24.5,14,HALLWAY,41.65,23.8
3044,24.5,15,DOOR,41.65,25.5
3045,24.5,17.5,ROOM,41.65,29.75
3046,21.5,11,HALLWAY,36.55,18.7
3047,22.5,11,DOOR,38.25,18.7
3048,25,11,ROOM,42.5,18.7
3049,21.5,7.5,HALLWAY,36.55,12.75
3050,22.5,7.5,DOOR,38.25,12.75
3051,25,7.5,ROOM,42.5,12.75
3052,21.5,6,HALLWAY,36.55,10.2
3053,21.5,4.5,HALLWAY,36.55,7.65
3054,25,4.5,ROOM,42.5,7.65
3055,18,4.5,ROOM,30.6,7.65
3056,21.5,1.5,HALLWAY,36.55,2.55
3057,25,1.5,ROOM,42.5,2.55
3058,18,1.5,ROOM,30.6,2.55
3059,21.5,0,HALLWAY,36.55,0
3060,18.5,6,HALLWAY,31.45,10.2
3061,18.5,7,DOOR,31.45,11.9
3062,18.5,8.5,ROOM,31.45,14.45
3063,13,6,HALLWAY,22.1,10.2
3064,13,5.3,DOOR,22.1,9.01
3065,13,4,ROOM,22.1,6.8
3066,13,7,DOOR,22.1,11.9
3067,13,8.5,ROOM,22.1,14.45
3068,8,6,HALLWAY,13.6,10.2
3069,8,7,DOOR,13.6,11.9
3070,8,8.5,ROOM,13.6,14.45
3071,22.5,4.5,DOOR,38.25,7.65
3072,20.5,4.5,DOOR,34.85,7.65
3073,22.5,1.5,DOOR,38.25,2.55
3074,20.5,1.5,DOOR,34.85,2.55
